22,22.83,,,,,
23,23.02,,,,,
29,30.07,,,第一列为实际值，第二列为未矫正的结果，-1代表未找到或者找错，65-284有第三列，为矫正后的结果,,
31,32.48,,,,,
15,14.85,,,,,
18,18.19,,,,,
19,20.05,,,,,
19,19.68,,,,,
26,26.73,,,,,
27,31.18,,,,,
37,35.82,,,,,
40,41.39,,,,,
41,-1,,,,,
41,-1,,,,,
31,32.48,,,,,
32,32.85,,,,,
29,-1,,,,,
32,-1,,,,,
20,21.35,,,,,
20,-1,,,,,
23,27.1,,,,,
27,31,,,,,
26,-1,,,,,
28,29.51,,,,,
28,30.44,,,,,
28,27.66,,,,,
25,25.43,,,,,
22,-1,,,,,
35,37.87,,,,,
39,40.84,,,,,
25,26.73,,,,,
24,23.94,,,,,
30,30.44,,,,,
30,29.88,,,,,
36,11.32,,检测错误,,,
37,36.19,,,,,
27,40.46,,手指检测过长,,,
27,32.67,,,,,
27,36.75,,手指检测过长,,,
24,33.6,,,,,
30,30.63,,,,,
29,31.37,,,,,
35,38.61,,,,,
31,-1,,,,,
33,33.41,,,,,
32,32.11,,,,,
39,40.28,,,,,
39,-1,,,,,
24,24.32,,,,,
28,28.58,,,,,
25,28.21,,,,,
24,24.69,,,,,
33,35.64,,,,,
34,35.08,,,,,
33,33.78,,,,,
34,34.15,,,,,
29,31.18,,,,,
31,31.18,,,,,
41,42.88,,,,,
39,41.02,,,,,
30,29.14,,,,,
31,31.18,,,,,
12,13.18,,,,,
10,10.77,,,,,
26,29.41,,,,,
27,23.23,,,,,72号直接使用openpose无法检测出被测人，无法得到结果
24,25.85,,,,,
25,28.85,,,,,
23,25.29,,,,,
23,26.04,,,,,
40,43.28,,,,,
41,-1,,,,,
38,14.24,,手臂过低,,,
38,42.9,,,,,
21,31.48,,正常,,,
24,36.72,,正常,,,
20,31.85,,正常,,,
20,29.6,,,,,
24,25.29,,,,,
24,25.29,,,,,
30,32.97,,,,,
34,36.91,,,,,
22,24.36,,,,,
25,26.42,,,,,
27,31.85,,,,,
28,30.16,,,,,
34,36.35,,,,,
34,35.97,,,,,
24,27.35,,,,,
26,27.92,,,,,
21,22.3,,,,,
21,22.11,,,,,
28,28.1,,,,,
28,30.16,,,,,
10,14.8,,,,,
13,14.05,,,,,
25,28.48,,,,,
27,30.73,,,,,
21,32.04,,正常,,,
20,34.85,,,,,
15,18.92,,,,,
19,22.11,,,,,
28,29.6,,,,,
29,30.73,,,,,
35,30.91,,,,,
29,30.35,,,,,
26,29.98,,,,,
29,30.91,,,,,
20,22.3,,,,,
19,22.67,,,,,
41,34.1,,手臂过低，预测的手异常,,,
37,44.03,,手臂过低,,,
39,42.72,,,,,
39,-1,,,,,
30,26.42,,预测到了脚，未预测到右手,,,
26,27.35,,只有左手,,,
36,41.97,,,,,
37,42.15,,,,,
35,37.47,,,,,
34,35.97,,,,,
26,30.16,,,,,
26,23.61,,未预测到右手,,,
21,-1,,,,,
21,17.24,,未预测到右手,,,
42,44.03,,,,,
42,40.09,,未预测到右手,,,
35,-1,,,,,
35,-1,,,,,
25,-1,,,,,
21,-1,,,,,
32,-1,,,,,
35,-1,,,,,
26,33.35,,,,,
27,31.48,,,,,
28,29.79,,,,,
28,30.91,,,,,
21,23.61,,,,,
24,27.54,,,,,
23,25.29,,,,,
24,25.67,,,,,
19,18.55,,,,,
17,17.8,,,,,
